Unnamed: 0,scrape_id,source,host_since,host_response_rate,host_is_superhost,host_has_profile_pic,neighbourhood_cleansed,longitude,room_type,bathrooms,bedrooms,amenities,minimum_nights,availability_30,availability_90,number_of_reviews,number_of_reviews_l30d,last_review,review_scores_accuracy,review_scores_checkin,review_scores_location,license,calculated_host_listings_count,calculated_host_listings_count_private_rooms,reviews_per_month
10,20241220045231,city scrape,2010-05-13,100%,f,t,Porto - Saragozza,11.33567,Entire home/apt,2.0,1.0,"[""Washer"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Iron"", ""Paid parking off premises"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Free street parking"", ""Refrigerator"", ""Coffee maker"", ""Smoking allowed"", ""Pets allowed"", ""Essentials"", ""HDTV"", ""Air conditioning"", ""Host greets you"", ""Heating"", ""Hot water"", ""Shampoo"", ""Long term stays allowed"", ""Private hot tub"", ""Luggage dropoff allowed"", ""Kitchen""]",2,8,55,65,0,2022-07-03,4.51,4.63,4.71,IT037006C2ISK7PTSC,1,0,0.43
11,20241220045231,city scrape,2012-07-09,100%,f,t,Porto - Saragozza,11.31162,Private room,1.0,1.0,"[""Shampoo"", ""Dishes and silverware"", ""Smoking allowed"", ""Hangers"", ""Breakfast"", ""Elevator"", ""Essentials"", ""Microwave"", ""Cooking basics"", ""Air conditioning"", ""Refrigerator"", ""Coffee maker"", ""Heating"", ""Patio or balcony"", ""Host greets you"", ""Wifi"", ""Hair dryer"", ""Iron""]",1,1,61,25,0,2024-09-25,4.92,4.96,4.72,IT037006C1AZJOO6IC,4,4,0.17
12,20241220045231,city scrape,2010-03-18,82%,f,t,Porto - Saragozza,11.34051,Entire home/apt,1.0,0.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Laundromat nearby"", ""Cleaning available during stay"", ""Books and reading material"", ""Blender"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Iron"", ""Central air conditioning"", ""EV charger"", ""Paid parking off premises"", ""Stove"", ""Hangers"", ""Shower gel"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Washer \u2013\u00a0In unit"", ""Drying rack for clothing"", ""Pocket wifi"", ""Mosquito net"", ""Essentials"", ""Paid parking on premises"", ""Conditioner"", ""Heating"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""Clothing storage: closet"", ""First aid kit"", ""Self check-in"", ""Room-darkening shades"", ""Baking sheet"", ""Cooking basics"", ""Lockbox"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Portable fans"", ""Luggage dropoff allowed"", ""Kitchen""]",31,1,1,13,0,2024-10-08,4.85,4.92,5.0,,2,1,0.09
13,20241220045231,city scrape,2012-08-28,100%,f,t,Savena,11.37699,Private room,1.0,1.0,"[""TV"", ""Breakfast"", ""Elevator"", ""Heating"", ""Wifi""]",1,30,90,6,0,2023-05-20,4.83,4.83,4.5,IT037006C1NJHJEAKO,2,2,0.04
14,20241220045231,city scrape,2012-09-06,,f,t,Navile,11.34565,Entire home/apt,1.0,2.0,"[""Shampoo"", ""TV"", ""Hangers"", ""Essentials"", ""Washer"", ""Air conditioning"", ""Heating"", ""Wifi"", ""Hair dryer"", ""Iron"", ""Kitchen""]",2,0,0,4,0,2018-11-11,4.25,4.25,4.25,,1,0,0.04
15,20241220045231,city scrape,2012-04-01,100%,t,t,Santo Stefano,11.35267,Entire home/apt,1.0,1.0,"[""TV"", ""Wine glasses"", ""Dining table"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Smoke alarm"", ""Paid valet parking on premises"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Central air conditioning"", ""Paid parking off premises"", ""Hangers"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Shower gel"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Outdoor furniture"", ""Changing table - available upon request"", ""Drying rack for clothing"", ""Private entrance"", ""MIELE stainless steel single oven"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Essentials"", ""Freezer"", ""Host greets you"", ""Heating"", ""City skyline view"", ""Cleaning products"", ""Hot water"", ""Pack \u2019n play/Travel crib - available upon request"", ""Shampoo"", ""First aid kit"", ""Dishwasher"", ""Room-darkening shades"", ""Baking sheet"", ""Fire extinguisher"", ""Cooking basics"", ""Crib - available upon request"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Electrolux stainless steel gas stove"", ""Coffee"", ""Luggage dropoff allowed"", ""Kitchen""]",3,26,78,108,1,2024-12-02,4.91,4.95,4.92,IT037006C2VJWVDVI8,2,0,0.73
16,20241220045231,city scrape,2012-07-23,100%,f,t,Santo Stefano,11.35173,Entire home/apt,1.0,1.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Laundromat nearby"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Iron"", ""Stove"", ""Hangers"", ""Outdoor dining area"", ""AC - split type ductless system"", ""Refrigerator"", ""Body soap"", ""Clothing storage: walk-in closet"", ""Dishes and silverware"", ""Coffee maker"", ""Outdoor furniture"", ""Pets allowed"", ""Free washer \u2013 In unit"", ""Essentials"", ""Freezer"", ""Host greets you"", ""Heating"", ""City skyline view"", ""Cleaning products"", ""Shared patio or balcony"", ""Hot water"", ""Shampoo"", ""Baking sheet"", ""Cooking basics"", ""Bathtub"", ""Long term stays allowed"", ""Coffee"", ""Kitchen""]",3,22,57,75,0,2024-11-04,4.54,4.47,4.87,IT037006C2M7CXWSAL,1,0,0.52
17,20241220045231,city scrape,2012-07-09,100%,f,t,Porto - Saragozza,11.31329,Private room,0.0,1.0,"[""Lock on bedroom door"", ""TV"", ""Bidet"", ""Microwave"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Ethernet connection"", ""Iron"", ""Hangers"", ""Refrigerator"", ""Safe"", ""Breakfast"", ""Mosquito net"", ""Essentials"", ""Free parking on premises"", ""Air conditioning"", ""Crib"", ""Host greets you"", ""Heating"", ""Hot water"", ""Clothing storage: closet"", ""Room-darkening shades"", ""Bathtub"", ""Extra pillows and blankets"", ""Luggage dropoff allowed""]",1,1,61,18,0,2024-09-26,4.94,5.0,4.56,IT037006C1AZJOO6IC,4,4,0.13
18,20241220045231,city scrape,2012-10-13,100%,t,t,San Donato - San Vitale,11.36354,Entire home/apt,2.0,3.0,"[""Dining table"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Laundromat nearby"", ""Smoke alarm"", ""32 inch HDTV with standard cable"", ""Cleaning available during stay"", ""Wifi"", ""Single level home"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Iron"", ""Courtyard view"", ""Shared backyard \u2013 Fully fenced"", ""Hangers"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""Central heating"", ""Elevator"", ""AC - split type ductless system"", ""Free street parking"", ""Refrigerator"", ""Safe"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Paid parking garage on premises \u2013 1 space"", ""Free washer \u2013 In unit"", ""Garden view"", ""Exterior security cameras on property"", ""Private patio or balcony"", ""Essentials"", ""Freezer"", ""Free parking on premises"", ""Host greets you"", ""Theme room"", ""City skyline view"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""Paid street parking off premises"", ""Rice maker"", ""Room-darkening shades"", ""Baking sheet"", ""Cooking basics"", ""Mini fridge"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Samsung stainless steel induction stove"", ""Luggage dropoff allowed"", ""Kitchen""]",2,28,79,46,1,2024-11-25,4.78,4.87,4.48,IT037006C2HV3EKFPU,2,0,0.35
19,20241220045231,city scrape,2012-11-14,100%,t,t,Santo Stefano,11.34679,Entire home/apt,1.0,2.0,"[""TV"", ""Wine glasses"", ""Dining table"", ""Bidet"", ""Laundromat nearby"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Bed linens"", ""Iron"", ""Central air conditioning"", ""Children\u2019s dinnerware"", ""Gas stove"", ""Coffee maker: french press"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Outdoor dining area"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Board games"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Stainless steel oven"", ""Essentials"", ""Host greets you"", ""Heating"", ""Cleaning products"", ""Hot water"", ""Clothing storage: closet"", ""Dishwasher"", ""Baking sheet"", ""Cooking basics"", ""Bathtub"", ""Extra pillows and blankets"", ""Coffee"", ""Clamp on table seat high chair - available upon request"", ""Baby bath"", ""Toaster"", ""Kitchen""]",2,16,42,24,2,2024-12-08,5.0,5.0,5.0,IT037006C2AQ79LH8E,1,0,0.16
20,20241220045231,city scrape,2012-11-18,100%,t,t,Santo Stefano,11.34114,Entire home/apt,1.0,1.0,"[""Bidet"", ""Clothing storage: closet and dresser"", ""Microwave"", ""Washer"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Stove"", ""Backyard"", ""Hangers"", ""Hot water kettle"", ""Shower gel"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Outdoor furniture"", ""Drying rack for clothing"", ""Breakfast"", ""Essentials"", ""Air conditioning"", ""Host greets you"", ""Heating"", ""Hot water"", ""Shampoo"", ""Fire extinguisher"", ""Cooking basics"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Kitchen""]",3,1,1,386,0,2024-09-29,4.82,4.82,4.76,IT037006C2G2VFPREL,2,0,2.65
21,20241220045231,city scrape,2012-11-25,100%,t,t,Porto - Saragozza,11.33933,Entire home/apt,1.0,1.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Laundromat nearby"", ""Window AC unit"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Courtyard view"", ""Stainless steel gas stove"", ""Hangers"", ""Hot water kettle"", ""Central heating"", ""Shower gel"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Forno a microonde  stainless steel oven"", ""Outdoor furniture"", ""Pets allowed"", ""Drying rack for clothing"", ""Private entrance"", ""Vari body soap"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Essentials"", ""Freezer"", ""Host greets you"", ""Hot water"", ""Room-darkening shades"", ""Baking sheet"", ""Cooking basics"", ""HDTV with Chromecast, standard cable"", ""Extra pillows and blankets"", ""Coffee"", ""Toaster"", ""Kitchen""]",2,22,82,252,0,2024-11-10,4.93,4.97,4.9,IT037006C26N837VRZ,2,0,1.73
22,20241220045231,city scrape,2012-11-17,100%,t,t,Porto - Saragozza,11.33176,Entire home/apt,1.0,1.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Laundromat nearby"", ""Smoke alarm"", ""Microwave"", ""Books and reading material"", ""Blender"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Central air conditioning"", ""Iron"", ""Paid parking off premises"", ""Hangers"", ""Hot water kettle"", ""35 inch HDTV"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Outdoor furniture"", ""Pets allowed"", ""Drying rack for clothing"", ""Free washer \u2013 In unit"", ""Pocket wifi"", ""Private patio or balcony"", ""Essentials"", ""Host greets you"", ""Heating"", ""City skyline view"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""Clothing storage: closet"", ""Coffee"", ""First aid kit"", ""Dishwasher"", ""Room-darkening shades"", ""Baking sheet"", ""Long term stays allowed"", ""Cooking basics"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Electrolux stainless steel gas stove"", ""Portable fans"", ""Luggage dropoff allowed"", ""Toaster"", ""Kitchen""]",3,13,13,148,1,2024-12-04,4.78,4.82,4.81,IT037006C2EUZAFYGV,1,0,1.02
23,20241220045231,city scrape,2012-12-13,0%,f,t,Santo Stefano,11.34867,Entire home/apt,1.0,1.0,"[""Dishes and silverware"", ""Stove"", ""Dishwasher"", ""Hangers"", ""Essentials"", ""Kitchen"", ""Washer"", ""Air conditioning"", ""Refrigerator"", ""Cooking basics"", ""Heating"", ""Extra pillows and blankets"", ""Wifi"", ""Hair dryer"", ""Hot water"", ""Oven"", ""Bed linens"", ""Ethernet connection""]",6,21,79,47,0,2022-07-22,4.89,5.0,4.87,,1,0,0.33
24,20241220045231,previous scrape,2012-12-27,100%,f,t,Navile,11.349018096923828,Private room,,,"[""Lock on bedroom door"", ""TV"", ""Smoke alarm"", ""Microwave"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Portable air conditioning"", ""Paid parking off premises"", ""Stove"", ""Hangers"", ""Central heating"", ""Refrigerator"", ""Coffee maker"", ""Breakfast"", ""Paid parking lot on premises \u2013 1 space"", ""Essentials"", ""Host greets you"", ""Hot water"", ""Shampoo"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Luggage dropoff allowed""]",1,26,85,46,0,2024-04-09,4.68,4.89,4.6,IT037006B48EBY34UV,2,2,0.33
25,20241220045231,city scrape,2013-01-11,100%,f,t,Santo Stefano,11.34428,Entire home/apt,1.0,1.0,"[""TV"", ""Wine glasses"", ""Dining table"", ""Bidet"", ""Ski-in/Ski-out"", ""Smoke alarm"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Children\u2019s books and toys"", ""Bed linens"", ""Iron"", ""Courtyard view"", ""Stove"", ""Hangers"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib"", ""Shower gel"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Essentials"", ""Freezer"", ""Air conditioning"", ""Crib"", ""Heating"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""Paid parking garage off premises"", ""Fire extinguisher"", ""Cooking basics"", ""Extra pillows and blankets"", ""Coffee"", ""Toaster"", ""Kitchen""]",1,17,72,715,0,2024-09-15,4.87,4.9,4.88,IT037006B4784CFSIV,5,0,4.98
26,20241220045231,city scrape,2012-09-30,100%,f,t,Borgo Panigale - Reno,11.2841,Entire home/apt,1.0,1.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Clothing storage: closet and dresser"", ""Housekeeping - available at extra cost"", ""Books and reading material"", ""TV with standard cable"", ""Wifi"", ""Single level home"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Iron"", ""Stove"", ""Hangers"", ""Carbon monoxide alarm"", ""Shower gel"", ""Refrigerator"", ""Free street parking"", ""Body soap"", ""Dishes and silverware"", ""Breakfast"", ""Free washer \u2013 In unit"", ""Mosquito net"", ""Essentials"", ""Freezer"", ""Air conditioning"", ""Conditioner"", ""Heating"", ""Cleaning products"", ""Hot water"", ""Coffee maker: pour-over coffee"", ""Shampoo"", ""First aid kit"", ""Self check-in"", ""Fire extinguisher"", ""Cooking basics"", ""Lockbox"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Coffee"", ""Kitchen""]",2,15,75,189,0,2024-11-17,4.86,4.9,4.69,IT037006C25IFOGG93,1,0,1.32
27,20241220045231,city scrape,2013-02-01,100%,f,t,Santo Stefano,11.35021,Entire home/apt,1.0,1.0,"[""Microwave"", ""Washer"", ""TV with standard cable"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Iron"", ""Hangers"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Pets allowed"", ""Essentials"", ""Paid parking on premises"", ""Host greets you"", ""Heating"", ""Hot water"", ""Shampoo"", ""Dishwasher"", ""Cooking basics"", ""Long term stays allowed"", ""Kitchen""]",2,22,82,278,1,2024-11-24,4.75,4.89,4.83,IT037006C2E9QOBMFB,1,0,1.95
28,20241220045231,city scrape,2011-02-02,100%,f,t,Porto - Saragozza,11.32102,Private room,1.0,2.0,"[""Bidet"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Paid parking off premises"", ""Hangers"", ""Elevator"", ""Shower gel"", ""Indoor fireplace"", ""Body soap"", ""Coffee maker"", ""Breakfast"", ""Mosquito net"", ""Essentials"", ""Host greets you"", ""Conditioner"", ""Heating"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""Bathtub"", ""Extra pillows and blankets"", ""Portable fans""]",2,24,83,14,0,2024-05-29,4.64,4.86,4.43,IT037006C1WTADJVPO,1,1,0.1
29,20241220045231,city scrape,2013-01-11,100%,f,t,Santo Stefano,11.34507,Entire home/apt,1.0,1.0,"[""TV"", ""Wine glasses"", ""Dining table"", ""Bidet"", ""Smoke alarm"", ""Microwave"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Iron"", ""Stove"", ""Canal view"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Carbon monoxide alarm"", ""Shower gel"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Essentials"", ""Freezer"", ""Air conditioning"", ""Crib"", ""Heating"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""Clothing storage: closet"", ""Paid parking garage off premises"", ""Fire extinguisher"", ""Cooking basics"", ""Extra pillows and blankets"", ""Coffee"", ""Toaster"", ""Kitchen""]",1,15,53,583,1,2024-12-01,4.85,4.89,4.94,IT037006B4784CFSIV,5,0,4.08
